Author,First name,Predicted gender
Kvill  G.E.,Kvill,Unknown
Hartling  A.,Hartling,Male
Graf  G.C.,Graf,Male
Cecile  M.P.,Cecile,Female
Ward  B.C.,Ward,Male
Banks  C.J.,Banks,Male
Eaton  D.W.,Eaton,Male
Heikkinen  C.,Heikkinen,Male
Brooks  P.W.,Brooks,Male
Hall  R.L.,Hall,Male
Norris  B.,Norris,Male
McKercher  B.,McKercher,Unknown
Tittemore  J.,Tittemore,Unknown
Halton  E.,Halton,Male
Hedinger  A.S.,Hedinger,Male
McCabe  H.R.,McCabe,Male
Paterson  D.F.,Paterson,Male
Hay  D.C.,Hay,Male
Osadetz  K.G.,Osadetz,Unknown
Hills  L.V.,Hills,Male
Minken  D.F.,Minken,Unknown
Gilchrist  R.D.,Gilchrist,Male
Hinds  R.C.,Hinds,Male
McAuley  R.J.,McAuley,Male
Salas  C.J.,Salas,Male
Chen  D.,Chen,Male
Schneider  C.L.,Schneider,Male
Macqueen  R.W.,Macqueen,Male
Tremblay  Y.M.,Tremblay,Male
Wierzbicki  R.A.,Wierzbicki,Male
Tawadros  E.E.,Tawadros,Female
Cheng  Y.,Cheng,Male
Grobe  M.,Grobe,Male
Snowdon  L.R.,Snowdon,Male
Fennell  J.W.,Fennell,Male
Packard  J.J.,Packard,Male
Mack  T.,Mack,Male
Elgr  R.,Elgr,Male
Riediger  C.L.,Riediger,Male
